line_index,obscene_score,aave_text,sae_text
1902,0.9886,"Been waiting on phone call for TWO days...damn!"" It's safe tosay they not calling lol","\""Been waiting for a phone call for two days, damn!\"" It's safe tosay they're not going to call, and I'm laughing"
1474,0.9885,If Larry Langford wasn't in prison he woulda built that shit himself. Lol dudebelieved in making shit happen,larry Langford would have built that himserlf if he wasn't in prison. laugh out loud hebelieved in doing thing
1530,0.9885,WHY DO YOU FEEL THE NEED TO TALK ON THE SPEAKER PHONE WTF I DON'T NEED TO HEARYOUR DAMN CONVO FUCKING LAME,"Why do you feel the need to talk on the speaker phone? What the fuck, I don't need to hearyour damn conversation. Fucking lame"
817,0.9884,aye KID idk who house u be at sitting all over theirfurniture and shit lol lol,Hey man whose house are you spending your time at and sitting on theirfurniture and whatnot hahah
750,0.9882,My bitch said boy u got a shoe fetish u ain't got 2 buyem cause they come out,"My Bitch said \""Boy, you got a shoe fetish you do not have to buythem because they come out.\"
422,0.9879,"Kobe need 2 keep gum in his damn mouth..lmao. Let me get off Kobe,he still got dat shit.","Kobe needs to keep the gum in his mouth. I laugh about it, but let me move on from him.He is still just as talented"
1252,0.9878,Some people in this world hate others for no reason that'swhy I say fuck em,"Some people in this world hate others for no reason. That'swhy I say, \""fuck them\"""
1838,0.9877,"my shit is ""Streets Made of Gold"" he went in on that one.""<<Oh Yea that song I puton repeat when I'm riding","My shit is \""Streets Made of Gold.\"" He went in on that one.It is on repeat when I am riding."
433,0.9876,"---> At work: Damn it’s only 1 o’clock?!?! At home on your day off:Damn its already 1 o’clock?!?!?""","At work: Damn, it's only 1 o'clock?! At home on your day off:Damn, it's already 1 o'clock?"
1354,0.9876,lol your welcome .....and besides u not mentally ready if I did fuck u.....mfs gonebe mind blown fuck sprung,"That's funny. You're welcome. And besides, you're not mentally ready if I did mess with you. That guy's goingto be very confused"
1491,0.9875,"he happy as shit he got a phone gon tell me ""bitch you got my number"" i waslike he happy as shot","He’s happy as shit that he got a phone. He told me “bitch, you got my number”. I waslike he’s happy as shit."
654,0.9875,"I'm happy is shit. Dem new SHOES that just came out bout tobe on my feet!!-fck yea,,,",I'm happy as shit. These new shoes that just came out are about tobe on my feet! Fuck yeah
1887,0.9870,Im lowkey about to pass out on my couch... But before i do cani talk my shit twitter,"I'm kind of about to pass out on my couch... But before I do, canI say the shit I wanna say, Twitter"
1679,0.9869,Ion really believe shit people say I just been lied to so many times It'slike Fuck dat.Trust no one,"Ion really trusts what people say I've just been lied to so many times it'slike damn it, don't trust anyone"
1997,0.9869,U aint the shit until a Femme have u on they radar to provide herand her mate a child...,You haven’t reached your full potential until a lesbian is considering asking you to be the sperm donor forher and her partner to have a child.
132,0.9868,Fucking WhERE?!!!! T So its a store that will sell U 4fifth of Patron for 49.99,Fucking where is it? So it's a store that will sell you fourfifths of Patron for $49.99.
1293,0.9867,"And you ""I cant wait till shit blows over so I can get back to jokes and bullshit..."" types arereally irking my damm soul","And the people who say, \""I can't wait until shit blows over so I can get back to jokes and bullshit,\"" are really irking my damn soul"
1564,0.9867,"Lmaoooo ,nawl hoe ,yeen smackin shit ,only one touchin my ass is KENDRAVIUS , && hoemy ass aint sloppy neither","Laughing my ass off, no, whore, you're talking shit. The only one touching my ass is Kendravius and, whore,my ass isn't sloppy either"
136,0.9866,we aint going for that fam. My kid gonna get ALL the cool shit...cuz Daddy and Mommy workshard as shit for it.,We're not going for that family. My kid is going to get all the cool shit...because Daddy and Mommy work hard as shit for it.
1087,0.9864,If u tryin sell a iPhone call ur community CARRYOUT theywill geek off that shit,"If you are trying to sell an iPhone, call your community \""CARRYOUT\"", theywill really enjoy that shit"
634,0.9861,Vic fuckin my old bitch nunu she acting like she didn't fuck him bitch that's my Brova u thinkhe not gonna tell me,"Vic is fucking my old bitch, Nunu. She's acting like she didn't fuck him. Bitch, that's my friend, you thinkhe isn't going to tell me"
296,0.9861,With my new bitch rite now I like her style cuz treat me Betta and fuck meBetta we on another level,With my new girlfriend right now. I like her style because she treats me better and fucks me better. We are on another level.
472,0.9860,This is fuck shit dats gonna get 49ers some wind back...Iseen these liteskin tricks before!,The 49ers are going to get some momentum back with this.I have seen those actions from white people before.
1981,0.9860,good shit...I den got back 2 to it...I did a nakid jumping jacklast month and felt sumthing...,Great. I then got back to it. I did a naked jumping jacklast month and felt something.
735,0.9858,merchhhh u can . Awee nd go talk to dhat lil bitchdat wanna fuck widdchuu !!!,Merch u can. And go talk to that little bitchthat wants to fuck with you
771,0.9858,People Be Like I Kan Draw!!!!WTF This A Damn Stick Figure....Response: Best OneEver....Me: Shiiidd...Response: Nigga Fuck You,"People tell me I can draw. What the fuck. This is a damn stick figure. They tell me, \""This is the best oneever!\"". I say, \""shit.\"" They respond, \""Fuck you.\"
1206,0.9854,This show is all about what you talked about with another bitch at anotherrestaurant or park. The fuck,This show is exactly within the context of what you spoke on with another woman at anotherrestaurant or park. What the heck
265,0.9854,This shit is hilarious tho. When somebody calls you on your shitjust own up to it.,This shit is hilarious though. When somebody calls you on your shitjust own up to it.
1026,0.9853,I Remember My Past How I Used To Let Shit Disappoint Me Fast But Now I'm Like Fuck It Shidd IGot Ca$h Ta Count Nbs.!,"I remember my past and how I used to let shit disappoint me quickly. But now, I am like, \""Fuck it. Shit, I have cash that counts. No big deal!\"
110,0.9851,Bout to see like 40 plates on the gram get meheated I'm starving like shit,I'm about to look at forty meals on instagram that will get meexcited. I'm starving. Damn.
844,0.9850,"aye real shit, Matt Schaub is not a accurate QB in myopinion. Just watch this game","Seriously, Matt Schaub is not an accurate quarterback in myopinion. Just watch this game"
1660,0.9850,I wish would have a groove so I can randomly rollthru..talk my shit and leave.,I would loe to have a routine so I can get into a processjust walk through my platform and leave.
1457,0.9849,"I agree, fuck and get back to ya side of bed.Its 2 hot 4 dat!","I agree, fuck this and get back to your side of the bed.It's too hot for that"
1271,0.9848,"I need a sugar daddy!"" they take good care of u ""that's Wht I hear! Shit",I need a sugar daddy! They take good care of you.That's what I hear! Shit
739,0.9846,Fuck That You Win Some And Lose Some And This Time Shid I LostThe Love Of My Life,"Fuck that. You win some, you lose some. And this time, shit, I lostthe love of my life"
1702,0.9845,"Sometimes the shit you fuck with, is just not what mylife needs to fuck with.",When you try to start issues. I dont need to be involved.
558,0.9845,Soo bob are you with that shit? Lls! You fuck with Boney back ass Iesha beforeyou fuck with me? Respect,"So, Bob, are you with that shit? I am laughing like shit! If you fuck with bony-back-ass Lesha beforeyou fuck with me, then respect"
1597,0.9845,"""Nas heard your single and he hate that shit"""""" I sure hedoesn't care Wht u think","Nas heard your single, and he hates it. I'm sure he doesn't care what you think."
1058,0.9844,"""BITCH I HOPE THE FUCK U DO YOU'LL BE A DEAD SON OF AH BITCHILL TELL YEW DET!!"" LMFAOOOOOOOOOOOOOO","Bitch, I fucking hope you do. You'll be a dead son of a bitch,I'll tell you that! I'm laughing"
697,0.9844,It aint Fuck dude...but more so I don't understand the process of Mentoring...why I gotta tell uwhat u need to do?,"It's not fuck, dude...but more so I don't understand the process of mentoring. Why do I have to tell youwhat you need to do"
242,0.9843,"Smph ""Put a MOLLY in dat bitch drink nd she ain even knw it""realli like that's crazy shit!","Shake my head \""Put a molly in that bitch's drink and she doesn't even know it\""really like that's crazy shit"
1813,0.9842,… The Mfers I Fucked w/ In My Grammar && Middle School Daysx I Don't Even Fuck w/ Now . Mfers Den Changed ! ButFuck Em I'm Makin $$$,"The people that I hung out in high school and middle school days, I don't even talk to now. They changed. But they don't matter, I'm making money."
330,0.9841,Fuck top dog give me that underdog status..Made it from the bottom tothe top so what's trappin,"Fuck, top dog giving me that underdog status... Made it from the bottom tothe top, so what's happening"
167,0.9840,It can pan out tho...but dat later in life leap of faith shit is NOT the groove...fuck around andbe damaged goods by 34,"It can pan out though, but that later-in-life leap of faith shit is not the right idea. Date aroundand you will be damaged goods by 34."
1764,0.9839,"I'm so fucking,(irratated)like everybody is fucking blowing Da shit out ofmy Life#im done say nomore:-(","I'm so fucking irritated. Everybody is fucking blowing the shit out ofmy life. I'm done, say no more"
1200,0.9838,I hat when a bitch txt me an ask me when I'm cme see her and I say u tel me and she say idk bitch why df u txt me forhoe fuck my whole day,"I hate when a bitch texts me and asks me when I'm going to come see her, and I say, \""You tell me,\"" and she says, \""I don't know.\"" Bitch, why the fuck did you text me?Whore, fuck, my whole day is ruined"
260,0.9837,"That's how it's fucking done MIAMIII!!!!! Lebron, you FUCKING beast!!!! Gohome pacers! Fuck outta heaaaaaaa","That is how you do it, Miami! Lebron, you are a beast! Go home, Pacers! Leave"
630,0.9837,My next bitch will not smoke iont even smoke so why would I wantyo stank breath ass to,"My next girlfriend will not smoke.  I don't even smoke, so why would I wantyou, with your terrible bad breath, to smoke"
1083,0.9836,Dum bitch jus said damn tyga been text Gucci earlier... You dum bitch tyga on the westcoast... Smfh I'm done yo,"That dumb bitch just said damn, Tyga was texting Gucci earlier. You dumb bitch Tyga on the WestCoast... I'm shaking my head, I'm done"
423,0.9834,Im Honest About Shit It Aint NoReason To Lie Be Grown BoutThe Shit I Hate Liars,"I am honest about shit; there is no reason to lie. Be grown about it. Shit, I hate liars"
1157,0.9833,"Take me for who I am if you don't like itsuck my dick...."" Well damn","Take me for who I am, if you do not like itsuck my dick. Well, damn"
1339,0.9832,"Im tryna take this shit over next year.. I got a plan!""Aye Bro you still SSU","I'm trying to take this shit over next year. I have a plan!Hey bro, are you still sunny side up"
94,0.9831,Gatorade and powerade use to be so nasty to me butnow I luh Dat shit,Gatorade and Powerade used to be so nasty to me butnow I love that shit.
101,0.9831,"boy teya tryin go see granny, & shit. Ima see doe, imahit ur boost!"" No questions","Boy, Teya is trying to see granny and such. I'm going to see though, i'm going tohit your boost! No questions"
909,0.9830,"Feel like shit, but talking to my babe, made my daymuch better I love him...","I feel like shit, but talking to my boyfriend, it made my daymuch better. I love him"
1470,0.9830,Be commenting on my ig pics but wen yu see me in streets u act like yu Neva seen me lls... These social networksmake ppl weird ass shit!!,"You comment on my Instagram pictures but when you see me in public, you act like you never seen me. These social networksmake people weird"
998,0.9830,Damn. I haven't been on Twitter in a long time letme see what's going on,"Man, I haven't been on Twitter in a long time letme see what's going on"
1416,0.9828,"Fuck I look like , & I bet my mom won'tsay shit about it .","Who do I look like, and I don't think my mom willsay anything about it"
449,0.9826,I got clothes. I got hella shit. I just choose to look like abum 96% of the time,I have clothes. I have a lot of shit. I just choose to look like a bum 96% of the time
1592,0.9824,"""I knew ppl was gonna go overboard They on there suckingdick and fucking """" completely !",I knew people were going to go overboard. They are on there suckingdick and fucking completely.
37,0.9823,I agree You know.. this Nev as Intro is taking up precious Google Imaging time.. Theyneed to cut this bullshit,"I agree with you. As you know, the Nevas Intro is wasting Google Imaging time, they need for you to stop it"
1213,0.9819,"dude wtf lol IF YOU FUCK IN CHURCH YOU DONT NEED A RUBBA ,YOUR COVERED BY THE BLOOD""","Dude, what the fuck, that's hilarious. \""If you fuck in church you don't need a condom.You're covered by the blood.\"
323,0.9817,"If you have to wipe your ass more than 3 times after a shit, get yoshitty booboo ass in shower.","If you have to wipe your ass more than three times after you shit, get yourshitty butt in the shower"
1324,0.9817,Yet Again Didn't Do Shit For My Bday Man This Shit So Fuckin Crazy Everything I Wanna Do Mfers Can't Help Or Join In ButFuck Yal I'm Good .,"I didnt do much again for my birthday its crazy.  Everything I want to do includes friends who are unable to assist me or join but,Fuck you all I will be okay"
1145,0.9814,Why does he make me so mad and then make me love him again? Is that the emotional roller coaster everyone singabout? Excuse me but damn!!!!,Why is he able to make me so angry and then make me fall back in love with him again? Is that what people mean when they talk about an emotional roller coaster? I can't believe it
1363,0.9813,"Lil wine got me feeling some type away!"" Yoooooo I'm mad the bar not open theywas good as shit"" yesssssss","A little wine has gotten me feeling some type of way! Wow, I'm mad at the bar because they are not open,and they were good as shit. Yes"
732,0.9812,"Duh its called drowning, tell me shit I don't no Bitch. You can diefrom drinking too much water.""",It's called drowning. Tell me something I don't know. You can diefrom drinking too much water
1440,0.9811,fuck the S3 is so awful. How can you have a phone that takes 5 hours to charge but only holdsa charge for 45 minutes?,The S3 is awful. How can you have a phone that takes five hours to charge but only holdsa charge for 45 minutes
698,0.9811,And AYE! Stop using my fucking Govt Name on here! That'sTwice in 10 mins! Lol,And yes! Stop using my fucking government name on here! That'stwice in 10 minutes! Laugh-out-loud
1958,0.9809,Man damn u i bet i wnt say shit to u no mo on myma fuk dt ion care,"Man, damn you. I bet I won't say shit to you anymore. I swear on my mom. Fuck it, I don't even care"
274,0.9807,so you didn't get me any?! What kind of shit is that! Iwould've sent you my address,So you didn't get me any? What kind of disrespect is that? I would've sent you my address.
1190,0.9807,I love u but if this shit wins the oscar u will thank me ... Cause u know the the weirder the movie themore likely it will win,"I love you, but if this shit wins the Oscar, you will thank me. Because you know the weirder the movie, the more likely it will win"
1233,0.9806,What the deuce. .. I hate the smell of spray tan...this shit gots ta go.,What the deuce? ... I hate the smell of spray tan...This stuff has to go
776,0.9804,"We gettin old as shit smh lls I remember when was 9 like yesterday"" wen weain't have no worries lls","We are getting very old, I remember when we were 9 like it was yesterday when we didn't have any worrie"
126,0.9799,"Dear Greeks, If by 30 becoming a member of your org is ur greatest achievement...Udon't deserve ur fucking letters.","Dear Greeks, if by thirty becoming a member of your organization is your greatest achievement, you don't deserve your fucking letters."
1459,0.9798,Charlie Wilson White chick is off beat as fuck! But I bet heaint gotta answer to Shit!,Charlie Wilson's white girlfriend is out of tune! But i bet hewon't answer to anything 
933,0.9797,Yhu One Bitch Made Nigga Pussy Ass Nigga Fuck Around And Get Layed Down ThatsHow We Play It Nigga!,"You're one bitch-made black person, pussy ass black person. Fuck around and get knocked down. That'show we play it, black person"
1512,0.9797,Im up ..barely slept at all ..damn ppls decision can really effect your piece of mind ...been havingmini dreams all night smh,I am up. I barely slept at all. Damn people's decisions can really affect your piece of mind. I have been having mini dreams all night. Shaking my head.
1362,0.9797,Im tired of dis shit man im gne im leaving fuk dt shit she want me gneanyway man damn ha idgaf,"I’m tired of this shit, man. I’m gone. I’m leaving. Fuck that shit. She wants me goneanyway, man. Damn. Haha. I don’t give a fuck."
663,0.9796,Gimme a Gangsta Hoe one that Don't Give a Fuck andthat a Shank the Hoe!,"Give me a gangster whore, one that doesn't give a fuck andthat will stab the whore"
1095,0.9794,Cause I didn't know he called & I don't have a miss call that tripping spazzing shit I'm notfor it tonight at all,"Because I didn't know he called, and I don't have a missed call. That tripping spazzing stuff, I'm notfor it tonight at all"
545,0.9794,"I hate that cancer shit.. I'm not sensitive, I just bein my feelings a lot",I hate that cancer shit. I’m not sensitive. I’m justinto my feelings a lot.
956,0.9793,I swear man if iy anit one thing its another dis shit is trulygettin' on my fuckin nervs,"I swear, man, if it isn't one thing it's another. This shit is trulygetting on my fucking nerves"
564,0.9791,yeah last year they have to drill up my nose and I will haveblack eyes and shit smh,"Yeah, last year they had to drill up my nose and I hadblack eyes and so on.  It was unbelievable"
104,0.9791,Ten dollars from a call from jail... Shit over wit... See uwhen u come home bro,"Ten dollars for a call from jail. This shit is over with. See you when you come home, brother."
1615,0.9790,Damn I'm tired glad I only gotta couple weeks left my plant shutdown allof July goin to Miami,"Damn, I'm tired. I'm glad I only have to work a couple weeks now. My plant is shutting down, and allof us are going to Miami in July"
544,0.9789,But fuck it 2 can play that game.. But I thinkI would play it better,More than one person can play that game. I would win
1382,0.9789,I'm so lost when I log on now...emojis and new lingo and shit. The world move way toofast for Kim son now,I'm so lost when I log on now...with emojis and new lingo and shit. The world moves way toofast for Kim’s son now.
1665,0.9788,"Bitches ain't shit! Females want a loyal dude but can't evenbe loyal to their friends""",Women aren't worth anything! Females want a loyal man but can't evenbe loyal to their friends
1885,0.9788,I Roll Up n these hoes be hating becuz I don't wont themget a life bitch !!!,"I arrive at my destination, and these women are upset because I don’t want to be in a relationship with them. Go do something better with your time, woman"
1109,0.9784,Solid that tilapia looked all that I b hungry looking atya shit u gotta chill,The tilapia looked amazing and I was so hungry. Wow you really need to calm down
1086,0.9781,"Dam U Aite?? Thought U Hung Urself Afta Yesterday""boy ya lost tobitch ya some shit foreal","Damn, are you alright? I thought you hung yourself after yesterday. Boy, you lost to a bitch, you are some shit for real"
402,0.9781,I UNDERSTAND I BE MAD TO IF BL DO SUM SHIIT LIKE THAT BT. . . .BOTH Y'ALL NEED TO STOP . .Y'ALL GOT A BABY NOW,I understand why you are mad; I would be too if someone treated me like that. It has to stop. You have a child now.
662,0.9779,This girl said I got her in the friend zone.... naw bitch its the I ain'tfuckin wit yo ass zone,The girl said I befriended her.The bitch is lying. I don't fuck with girls like her
1921,0.9779,Damn I must've slept weird cuz I woke up and my arm was stiff.....All three of them Lmao,"Damn, I must have slept weird because I woke up and my arm was stiff... All three of them. I'm laughing out loud"
1000,0.9779,"Lmao Im goin to bed, shit really just blew me to the max cnt help but laugh cuz of course it'll endup being flipped on me","Laughing my ass off. I am going to bed. Shit really just blew me to the maximum. I cannot help but laugh because, of course it will endup being flipped on me."
284,0.9779,Put on my swim suit and baby oil for no damn reason.The pool is closed for some ol bullshit but will be open tomorrowand my ass gotta work,"Put on my swim suit and baby oil for no damn reason. The pool is closed for some bullshit, but will be open tomorrowand my ass has to wor"
1725,0.9778,I Seen It Wit My Own Eyes. Shit Was Real MyNicca Str8 Kilt Her !,I saw it with my own eyes. Shit was real myn-word. He killed her
228,0.9776,"We been beatin shit lately & we ain't playin round this summer.""y'all betta get sum straps cuzshit gettin real lil bra","We have been beating shit lately and we ain't playing around this summer. You all had better get some straps becauseshit is getting real, little brother."
1852,0.9774,"Don't be around for the moment, messing with me will get you fucked if you fuck meover just for the moment...",Do not be around for the moment. Messing with me will get you fucked if you fuck meover just for the moment
1623,0.9769,"You think that shit phase me? Luv, you was just a convo piece. That's it. You jumped to conclusions. Nowyou feel played... Oh well!!","You that shit phases me? Love, you were just a conversation piece. That's it. You jumped to conclusions. Now,you feel played... Oh, well"
486,0.9768,Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK,"You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis"
1678,0.9766,Think ima have my 18th bday in Ohio. Then again It's gne cold as shit. All I knowis I want something big,I think that I'm going to have my 18th birthday in Ohio. Then again it's really cold. All I know that is I want something big.
655,0.9761,I been talking this ignant (but true) shit for over 15 years...but NOW its hitting home one 30scome into picture...imma chill tho,"I've been talking about this ignorant (but true) shit for over 15 years...but NOW it's hitting home once thirtiescome into the picture. I'm going to chill, though"
351,0.9760,shit if that's the case I'm game for anywhere but MS! I'd like to come back this way butidk. Where u tryna go?,"Golly, If that is the case, I can go anywhere except for Mississippi! I'd like to come back to Mississippi, but I don't know. Where would you like to go"
358,0.9759,"popeyes is slipping. why the hell I gotta wait 15mins on some damn chicken. The things I do formomma, I tell ya lls",Popeye's isn't as good right now. Why do I have to wait 15 minutes for chicken? I'm laughing about all the things I'll do for my mom
1230,0.9756,Going through old DM and shit on twitter thinking to myself I wasa freak lol back then,"Going through old direct message and shit on Twitter, thinking to myself; \""I wasa freak, haha\"" back then"
901,0.9753,"CTFU , she a scary ass bitch ! That dick make her haverespect ! Heyyyy Naa !",I'm cracking the fuck up. She is a scary-ass bitch! That dick made her have respect! Hey
198,0.9752,just got done listen to that junt . had that shit bumpin inher lil whip . .,I just got done listening to that junk. I had that shut blasting inher little car.
1296,0.9752,Off work. Budweiser connect called with a bunch of free beer. I don't drink that shit anymore butu can't beat free! Lol,Just got off work.  The guy who gives me Budweiser for a good price called in saying he has some free beer.  I dont drink that shit anymore butYou can not say no to something that is free! Laugh out lou
1752,0.9751,Damn why aren't any of my shows on demand yet! I don't want to wait towatch them until next week,Damn. Why aren't any of my favorite shows on On Demand yet? I don't want to wait towatch them until next week
367,0.9751,Men ain't shit but bitch they can not take pain but they all ask like bitch fuck face they kiss my black Ass and diereal slow how about it,Men are not the best at having a high pain tolerance. What do you think?
837,0.9744,I'm bout sue the shit outta TLC for this dum ass show... Wtf is a professionalMourner wtf wtf wtf smh,I'm about to sue the shit out of TLC for this dumb ass show. What the fuck is a professional Mourner? What the fuck? What the fuck? What the fuck? Shaking my head.
1065,0.9743,I swear yo if we get this ok on the bowl game shit gonna get real dark n scary fast forwhoever we play I promise!,"I swear that if we win this bowl game, it's going to by intimidating towhoever we play against, I promise"
1604,0.9742,I'm nosey sometimes Damn right imma peep when I think something ain't right fuck who do like it I ain'there to make u happy,"I pry into others business, yes I do, I'm going to look when I think something isn't right. Screw whoever doesn't like it, I'm nothere to please you"
1182,0.9739,Good morning. It's to early to be playin games like I'm a grown ass man to be dealin with lil ass kid shit soon that note swerve bitch,"Good morning. It's far too early for me to deal with your issues, I am a grown man and I do not feel like dealing with all of this immaturity soin that regard, I would request you that you stop"
1370,0.9738,People like to categorize HipHop as Old School or New School. BULLSHIT!!! The categories are eitherGood or Bad. Wake Up!!!!,People like to categorize hip hop as old school or new school. Bullshit! The categories are either good or bad. Wake up
691,0.9738,I'm not a PTO user unless I have some fun shit to do...I goin no matter the weather,I'm not a paid time off user unless I have some fun shit to do...I goin to work regardless of the weather
624,0.9736,This shit crazy feelin for hope for speedy recovery! I know hegoin to take his time!,This shit-crazy feeling for hope and for a speedy recover! I know heis going to take his time
1023,0.9734,"He's never with no other chick, fronting like he's slick.Cause it's levels to this shit andshe could never be ME.","He's never with any other woman, acting like he's cool. Because there's levels to this shit andshe could never be me"
29,0.9732,Aight let me go ahead and get dressed to this Miguel album .. Y'all continue talking about all the shit y'all notgone do while I'm gone,"Alright, please allow me to get dressed up for the Miguel Album, and please continue to talk about everyone you are notgoing to do while I am gone"
105,0.9728,I think it's a raccon or possum walkin round my house I'mscared ass shit rite now,"I think there is a raccoon or possum walking around in my house, I'mreally scared right no"
767,0.9722,"Heavy d eating the chicken right out the grease ctfu , talkin bout u did dat lmao"" that shit burnt theroot of my mouf smfh","Heavy D eating the chicken right out the grease, shut the fuck up. Talking about you did that, laughing my ass off. That shit burnt theroof of my mouth, shaking my fucking head"
482,0.9721,I Know I'm Not Ugly But DAMN! Can a Bitch Get SomeType Of Affection Or Nah?,I know I'm not ugly but damn! Can a bitch get some type of affection or no?
426,0.9716,"But I recognize shit happens and if I don't achieve it, it was out of my power den...cuz imma do everything Ican to get it done","I recognize shit happens, and if I do not achieve it, it was out of my power. Then I am going to do everything I can to get it done."
88,0.9716,Got some new lipstick in the mail and got her damn hair oils. Had me excited likeit was my phone cases,I got some new lipstick in the mail and her damn hair oils. It had me excited thinking it was my phone cases.
1790,0.9715,Don't get it twisted I really don't give a shit its friday and people can royallyget the fuck over themselves,"Don't get it twisted. I really don't give a shit. It's Friday, and people can royallyget the fuck over themselves"
97,0.9711,or go to food services but either way corporate need tosend them some damn sauce,"Or go to food services, but either way, corporate needs to send them some damn sauce"
1571,0.9710,positive it's not yours - cooked in. I had a dream (nightmare?) about it last night. Yes - this isthe shit i dream about,"I'm positive it's not yours. I had a dream about it last night. And yes, these are the things that I dream about."
1584,0.9709,Can't believe some bitch ass tried to call my insurance company and say I was involved ina hit and run. Foh,I can't believe some bitch ass tried to call my insurance company and say I was involved ina hit and run. Get the fuck out of here
446,0.9709,Ppl kill me u walking around here with new shit but ur can't getur child anything thing new,People kill me.  You're walking around here with new stuff but you can't getyour child anything new
250,0.9708,I got This Feeling On a summer day When you were Gone I crashed my Car into a bridge I threw Your Shit into abag and pushed it down,I got this feeling on a summer day. When you were gone I crashed my car into a bridge. I threw your shit into abag and pushed it down
608,0.9708,*singing* morning wood makes me feel fine-ine...... damn I forgot the wordslol Good morning then lol,"I'm singing.  An erection in the morning makes me feel fine.  Damn it, I forgot the words.Ha, ha.  Good morning, then.  Ha, ha"
1954,0.9704,"llssss fuck he at""son he came out the creases and and was geekin askin 21questions for ur address lmfao",Please fuck. He is at someone he came out the creases and was geeking. Asking 21questions for your address. Laughing my fucking ass off
1364,0.9704,I just randomly held my hand up to this dudes muscle in the gym .. His shit is thesize of my hand man...,I just held my hand up to this man's muscles in the gym .. They are thesize of my hand..
1080,0.9703,I swear college is useless I'm done wat that shit unless its freeand I'm talkin golf classes,"I swear, college is useless. I am done with that shit unless it's freeand I'm taking golf classes."
