line_index,categories,aave_text,sae_text
554,S10,Anybody who did is a bitch nigga for being fake tellem I said that lls,Anyone who would act like that is not a nice person. They are fake.I don't care if they know I said that.
557,S10,"Why do black people think you'll remember a person if they say a name twice? ""You rememberJohnny?"" ""No just black people","Why do black people think you will remember a person if you say their name twice? \""You remember Johnny?\"". No, just black people do."
559,S12,I wanna lick you from your head to your toes but I'm lying I hate feet so I'll lick fromyour head to you know,"I want to lick you from your head to your toes.  But I'm lying. I hate feet, so I'll lick from your head to you know where"
565,S10,Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her,"Every high quality man knows if you want to have sex with a girl, You are going to dowhatever it takes to have sex with her"
567,S10,Just scene a nigga with a cardboard license plate not even in the windowjust straight in the car,Just saw a fellow African american with a cardboard license plate not even in the window of the carJust right in the car
572,S10,White lady was straight leanin on the black postal lady smh thoughtI had to record it,A white lady was literally leaning on the black postal lady. I’m shaking my head. I thoughtI had to record it.
576,S10,"Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy","Donte, Biggy Smalls, Chian, Faith Evans and me are the same.Lil Kim is better than that"
599,S10,If the nigga dnt want u he dnt want u changing his number to another phone to talk to his other bitches still meanshe dnt want u! dumbass,If he broke up with you then he is no longer interested. He changed his number so he could talk to other women.He is no longer interested and you need to accept that
603,S10,"wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro",I can't believe how badly my leg is hurt from a bus accident.You should sue the driver
607,S10,MerrillHood Nigga Ah Bitch Cant Get the Rest Of Me Acky Nd The kitchen Ad HeFlipping Up The recipe .......,I'm not going to let her get to me.I'm going to change up the recipe
616,S10,Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money2 pay off student loans,Jameis Winston is the big man on campus at Florida State.  I highly doubt he has to rape any woman.  That white girl wants moneyto pay of student loans
620,S10,Bitch Calling Niggas There Brothers & Cousins After They G Her OutSmh!!! Shit Bitches Say Lmao,"The woman was calling those guys \""brothers\"" and \""cousins\"" after they gave her a date rape drug!I'm shaking my head in amazement.  Women say some crazy things.  I'm laughing so hard"
626,S4,That LITTLE UGLY GIRL HOTT IMA LET HER THINK SHE DID SOMETHING SHE ANIT DO SHIT HER MAN BEGGIN ME TO STOP SO ILLDO ..I GUESS SHE SICK,"That little, ugly, girl is hot. I am going to let her think she did something that she is not doing. Shit, her man is begging me to stop so I will.I guess she is sick."
643,S10,"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Daliving dead Kmsl ..just saying*","Oh my gosh, without makeup, all of you bitches are beasts. Even so, you all look like Homer da Clown! Fucking return of the living dead. I am killing myself laughing, I am just saying"
661,S10,This nigga just folded chicken up .....he a beast and cantbe stop .....they gotta foul,This guy just pushed that chicken over. He is a beast and cannotbe stopped. They need to foul
681,S11,let me find out bitches on twitter talking shit bout something that happen last year. kill yourself hoe .,"Don’t let me find out that bitches on Twitter are trash talking about something which happened last year. Kill yourself, hoe."
707,S12,All dat education and still having to suck dick in the back of the DatingGame has to be humbling...,All that education and still having to suck dick in the back of the Dating   Game has to be humbling
708,S1,Sideline security guard back prolly broken after such a clean hit. Somebody about tocash in on disability soon!,The sideline security guard’s back is probably broken after such a direct hit. He is about to be able to get disability benefits soon
714,S12,"I figga if u can bring ya self to even do some hoe acts, your fargone. Eg GangBang by Hoopsquad","I figure if you can bring yourself to even perform some whore acts, you're fargone (e.g., Gang Bang by Hoop Squad)"
735,S12,merchhhh u can . Awee nd go talk to dhat lil bitchdat wanna fuck widdchuu !!!,Merch u can. And go talk to that little bitchthat wants to fuck with you
747,S10,"im done with dealing with a nigga that aint mines like that chapterof my life ova """,I am done with dealing with a individual that is not mine because that chapterof my life is over
752,S2,If u hustle still got 2 have a 9 2 5 keep them laws off urass and them thirsty hoes,"If you hustle, you still have to have a nine to five job to keep law enforcement off yourass and them thirsty hoes."
764,S12,"Haha MY MAN! Big Dante what's good wit it send me thosevideos lol""need ur number again","How funny, my man! Big Dante, how is it going? Send me thosevideos. I'm laughing - I need your number again"
768,S10,And fly niggas come third cause he might aint gt no money but he can still pull dabaddest bitch in da building,"And a stylish black person comes third because he may not have any money, but he can still attract themost attractive woman in the building"
769,S2,u let Lil Wayne hit u mind ass well let me hit for 1200wen I get my taxes,"You allowed Lil Wayne have sexual relations with you, in that case you should consider me as well for 1200when I receive my taxes"
771,S10,People Be Like I Kan Draw!!!!WTF This A Damn Stick Figure....Response: Best OneEver....Me: Shiiidd...Response: Nigga Fuck You,"People tell me I can draw. What the fuck. This is a damn stick figure. They tell me, \""This is the best oneever!\"". I say, \""shit.\"" They respond, \""Fuck you.\"
772,S1,need a lockout corner josh Wilson be lunchin they cheated for you doe I locked boy up and the ball wentpass his head I died,Josh wilson checks out of the game in his head but his team helped him to cheat. I got the guy tripped up on the court and the ball went                                                         pasr his head and I died laughing
774,S8,"THIS CHIEF KEEF CD MITE BE THE CD OF THE CENTURY I SWEAR!!!""future mixtape betterlls"" NAW CHEIF KEEF VOICE","This Chief Keef CD might be the CD of the century, I swear! A future mix tape will be betterwith Chief Keef's voice"
782,S12,"Rotflmmfao Kd screaming "" Do Yo Dance On My Dick Ooo Baby I Love It!! "" Lol My Momma ""Kd stfu "" Dying Laughing!!!","I'm rolling on the floor laughing my fucking ass off. This kid is screaming, \""Do your dance on my dick. Oh, baby I love it!\"" I'm laughing at my mom saying,\""Kid, shut the fuck up.\"" I'm dying laughing"
784,S10,"lol mane nun trippin of theze hoez OG she said she'll fuck my nigga to mak me mad, dats wat i wnther dumass to do anyway","Laughing out loud, the main one of these whores is tripping. Original gangster, she said she'll fuck my black person to make me mad. That's what I wanther dumb ass to do anyway"
808,S10,Up watching NBA TV... This nigga Isaih is boring as hell. He need to stick to coaching or beinga GM or some shit...,I'm awake and watching the NBA on TV. This player Isaih is as boring as hell. He needs to stick to coaching or beinga GM or something
819,S1,This lil boy in the salon just hit me so Iclipped him and he cried,"This young boy within the salon just hit me, so Ipurposefully ruined his haircut, causing him to cry"
824,S3,If a woman got on a matching Bra and Panty set on when she take off her clothes she knew shewas gone let you hit,"If a woman is wearing a matching bra and panties set when she takes off her clothes, she knewshe was going to let you have sex with her"
830,S2,i cant relate to dis shyt doe.. i dont know how tomake cocaine.. idk a cuban...,"I can't relate to this shit, though. I don't know how tomake cocaine. I don't know a Cuban"
831,S10,Niggas dnt understand stop tryna be bout that life cuz being about thatlife can get u 6feet,"Black people don't understand that they need to stop trying to be about that life, because being about thatlife can get you six feet under"
833,S1,Hoq do u stop five black men from rapin a whitewoman? Throw them ah basketball,How do you stop five black men from raping a whitewoman? Throw them a basketball.
836,S10,NIGGAZ KNW THEY CAN FRONT DATS Y I WAKE UP SAY MY PRAYERS N B LIKEFUCK A NIGGA IM 3hunna,"Black people know they can pretend. That's why I wake up, say my prayers and act likefuck a black person, I'm 300"
845,S9,dis ur homie SIX still streamin k104 all da every da frm D M I Crooked Letter Crooked Letter can i get a s/opla T James my Gold,"This is your homie Six. I'm still streaming K104 all day, every day from DMI. Can I get a shout out!Play T. James, my gold"
847,S10,& u stuck up chicks wonder why the so called ugly & or fat girls getting all the good men its cause they don'texpect man to do everything,And you stuck up women wonder why the so called ugly and/or fat women get all of the good men. It’s because they dont'expect their man to do everything.
867,S10,Oh and s/o to whatever damn sigma that was outside my window yelling and woke me up out of me sleep but its yo dayso be out my nigga,"Oh, and shout-out to whichever damn Sigma that was outside my window yelling and woke me up out of my sleep, but it's your day   so go out, my black person"
868,S10,"Boy you niggas be wiggin ova these hoes. Bustin' windows, goin to jail n shi..smh""sound like some female ish",You boys are going crazy over these girls. Breaking windows and going to jail? Shaking my head.It sounds like some womanly shit
873,S1,Lol and act of self defense it will be and trust I will be the only one who will be able to tell myside of the story lol,"Laughing out loud, it will be an act of self defense and trust me, I will be the only one who will be able to tell myside of the story, laughing out loud"
881,S10,"""when my daddy went to jail aint none of his boys came around or helped me out when i was down soits fuck them niggas now""","When my daddy went to jail, none of his friends came around or helped me out when I was struggling. Soit's fuck those guys now"
898,S10,Let my people out them chains nigga i mean handcuffs time to man up put my hands up fuck u saying bruh cause im ablack man in a phantom,"Let my people out of their chains, man. I mean handcuffs. Time to man up and put my hands up. What the fuck are you saying - because I'm a black man, I'm a phantom"
899,S10,Were is the gurl black China tell ha I'm looking for her n my future voiceCTFU ! She Wants TETE,"Where is the girl Black China? Tell her I'm looking for her and my future voice,cracking the fuck up! She wants head"
902,S10,"Anthony ole Grizzly Bear Looking Ass Just Got Threw Hibernating Now Finna Eat The HseUp , Fucking Pig !","Anthony old grizzly bear-looking ass just got through hibernating, now fixing to eat the houseup, fucking pig"
910,S1,No cause We gone cut yo fingers off and fry Em.FYM so be prepared HOMES,"No, because we are going to cut your finger off and fry them.Fuck you motherfucker - so be prepared, Homes"
916,S12,. Lookin Ad Baby Sleepin Like Ah Baby Body So Amazin Drive Mhe Krazy Um Bout Ta Wake Uu Uhp Gurl IIWanna Sex Uu Uhp ...!,"I'm looking at my baby sleeping, thinking \""Oh baby, your body is so amazing. It drives me crazy. I'm about to wake you up, girl. Iwant to have sex with you!\"
918,S10,. Dnt Even Trip Mfs On Twitter Sneak Dissin &&'d Dese Hoes Stay Taken Mhe As A Joke Like BytchIi Kill Uu Goofy .,"Don't even overreact, motherfuckers on Twitter insult sneakily and these whores act likes it's a joke. Bitch,I'll kill you, goofy"
923,S1,Swaggang Hitman I Think Im A.Goff ridein wit Two Bitches And My BluntsGone Make You cough (:,"Swaggering hit man, I think I'm A.Goff riding with two bitches and my bluntsare going to make you cough"
933,S10,Yhu One Bitch Made Nigga Pussy Ass Nigga Fuck Around And Get Layed Down ThatsHow We Play It Nigga!,"You're one bitch-made black person, pussy ass black person. Fuck around and get knocked down. That'show we play it, black person"
936,S10,See you the type of bitch ah nigga dont wife yhu come with two manyproblems and it aint right!,"See, you're the type of bitch a black person doesn't marry. You come with too manyproblems and it's not right"
941,S11,family is going to be with you Forever. Im going to hold my own self down i think i know whati did wrong hear .,"Family is going to be with you forever. I'm going to hold myself down, I think I know whatI did wrong here"
946,S10,"Niggas are hilarious.. They scream ""i like bad bitches"" and kids mothers look like a pennywit a whole in it..""ha!!!","People are hilarious. They scream, \""I like bad bitches\"" and their mothers look like a pennywith a hole in it. I'm laughing"
947,S10,"sike I just heard a nigga say that I dont lie to any1""he's 1 of a kind",Just joking! I just heard that guy say that I don't lie to anyone.He's one of a kind
954,S12,Y should i get suspended i didn't thro a puNch nothing just askher to cum out Side,"You should know I got suspended. I did not throw a punch, however. I just askedher to come outside."
987,S10,.on jesus im ready for WATEVAH im tried of dhese no training having asz niggah dats living paycheck to pay check .!,"Oh, Jesus. I’m ready for whatever. I’m tired of these negros having no training that are living paycheck to paycheck!"
999,S10,Why my dude just tweet: Are you Jewish? Cause you givin' me a look like Jewish this dickwas in your mouth. Lmmfao,"Why did my friend just Tweet \""Are you Jewish? Because you are giving me a look like you wish this peniswas in your mouth.\"" Laughing my mother fucking ass off."
1001,S12,Special sunday shoutout to the old church lady wit the seethrou suit on P.S like the way yo stockings double up as abra too Stupid sexy lol,"Special Sunday shout-out to the old church lady with the see through suit on. P.S. I like the way your stockings double up as abra too, stupid sexy, that's funny"
1031,S1,I Be Ready To Punch MFs In They Throat OMS Thats Why I Always BeQuite I'm Bipolar Asl Nbs.!,"I am ready to punch the motherfuckers in their throat. Oh my science! That is why I am alwaysquiet. I am bipolar. Age, sex, and location"
1036,S10,It's all in fun though. Everybody know light skin chicks withthin 'staches got fat asses,"It is all in fun, though. Everybody knows that light-skin chicks withthin mustaches have fat asses."
1037,S10,I ain't da prettiest nigga but damn bitch I juss said hello fuku mean its my job..,"I'm not the most handsome guy but damn, bitch, I just said hello. Fuck,you're mean. It's my job"
1041,S12,"Hairy pussy is not to be eaten, u can fuck it tho, don'tturn it down completely ""","Hairy vaginas are not meant to have cunnilingus preformed upon it. You can have sex with it though, don't turn it down completely"
1043,S10,A nigga ain't never around when he on top! But will do everything in his power to bringyou down when he down,A guy is never around when he's on top! But he will do everything in his power to bringyou down when he's down.
1049,S8,Attention: All Mets fans send out tweets as much as possible 4 Cuban 1b Jose Abreu thisoffseason 2 become a Met,Attention: All Mets fans send out Tweets as much as possible for Cuban. 1: Be Jose Abreu thisoffseason. 2: Become a Met
1055,S2,Watchu knoe bout stuffin bandz in a cerial box Tellin young'ns lemme know if theysee cops on the block,"What do you know about stuffing bands in a cereal box? Telling children; \""Let me know if yousee cops on the block.\"""
1058,S1,"""BITCH I HOPE THE FUCK U DO YOU'LL BE A DEAD SON OF AH BITCHILL TELL YEW DET!!"" LMFAOOOOOOOOOOOOOO","Bitch, I fucking hope you do. You'll be a dead son of a bitch,I'll tell you that! I'm laughing"
1085,S10,Niggas a snitch on a niggaaa at work then somebody come snitch rite on them and den theybe sick ass shit lls,"Dude is an informer on another guy at work, then somebody tattles right on them and then theyare frustrated, hahaha"
1088,S10,All I see on ig is pictures with quotes talkin bout niggas this niggas dat I'mbout done with that shit,"All I see on Instagram, is pictures with quotes talking about; \""People this, people that\"". I'mabout done with that shit"
1099,S12,I didn't try to hold your hand g. I HELD that shit. Just likehow I grabbed that ass,"I didn't try to hold your hand, dude. I held that shit, just likehow I grabbed that ass"
1107,S5,"Who wanna buy d tape of rocko running and guwop kickin him in ass. Wit my house shoes on lol.I want 250k"" I'm dead!!!","Who would want to buy the tape of Rocko running and Guwop kicking him in the ass. With my shoes on, haha.\""I want $250,000\"" I'm laughing so hard"
1114,S10,Every nigga den taught sumthing to a chick dat she took over to her new guy...udeserve nothing from that tutoring...,Every person then taught something to a woman that she transferrred to her new boyfriend. Youdeserve nothing from those lessons
1115,S10,"I don't think Ye is ghey, I think he just aimmature lil nigga with talent...",I don't think Ye is gay. I think he's just animmature little guy with talent..
1118,S10,I hate u phathom degree having niggaz too! Why even speak on it? Shit I don't even knowwhere my degree is located!,I hate you white acting degree fellow African Americans.  Why even brag about it?  Shitwhere my degree is located
1121,S2,U mogs with no experience expecting 6 figgaz outta school blowme...who sell yall these dreams???,"You guys with no experience, expecting six figures out of school? Blowme... Who sold you all these dreams??"
1125,S2,If anyone need a good furance installer for LOW fuck with me uknow I got it (info),If anyone is looking for a good furnace installer for a cheap price let me know.I have contact info for someone
1132,S10,"They don't really want it with us, say they want it with us, theydon't don't want it nigga","They do not really want to get with us. They say they want to get with us, theydo not want to get with us"
1135,S11,"109 hard ""yes gawd""how u get up there so fast"" I'maddicted and now I'm stuck","109 is hard. \""Yes, God. How do you get up there so fast?\"" I amaddicted and now I am stuck."
1142,S10,wrd 2 the wise if u runnin a train on a jank dont evr B the nigga gettin head 1st cuz the head gone B wack cuxshe gone B gettin dicked,"Just to let you know if you are ever having an orgy with a woman and other men are there don't ever be the person getting oral sex performed on you by the woman, because the oral sex is going to be of poor quality due to the fact thatthe woman is going to be getting screwed"
1143,S12,So u gone tell me by me bring a gentlemen and the man my motha raised me 2I payed for the pussy?,"So you're going to tell me that by being a gentleman and the man my mother raised me to be,I paid for the pussy"
1153,S12,Man if I have roommates I would make sure sex sounded like a murder scene forget beingrespectful you gone hear that,"Man, if I have roommates, I would make sure sex sounded like a murder scene. Forget beingrespectful, you are going to hear that"
1157,S12,"Take me for who I am if you don't like itsuck my dick...."" Well damn","Take me for who I am, if you do not like itsuck my dick. Well, damn"
1160,S12,Imma be gettin hella sex dis wk since Govt workers aint got no jobs. Feel like a18yr old on Fall Break!,I am going to be getting a lot of sex this week since Government workers don't have jobs. I feel like a 18 year old on Fall Break!
1165,S10,"AND SOME OF THA MOST UGLIEST BITCHES/NIGGAZ I EVA SAW IN MAH LIFE WAS LIGHT SKINNED.SO STFU WIT ALL DAT ""DARKSKINNED PPL IS UGLY"" SHIT.","Some of the most ugly bitches or guys I have ever seen in my life were light skinned. So shut the fuck up with all that \""darkskinned people are ugly\"" shit"
1170,S5,"MEEK MILL RAP LIKE HE JUST RAN FROM THE COPS AND HE EXPLAININGWHAT JUST HAPPENED"" ahhh lmfaoo",Meek Mill raps like he just ran from the cops and he is explainingwhat just happened. That is so funny.
1177,S5,Just lost respect for dicky v calling Arian foster a prostitutebad choice of words vitale,"I just lost respect for Dicky V. Calling Arian Foster a prostitute?Bad choice of words, Vitale"
1182,S4,Good morning. It's to early to be playin games like I'm a grown ass man to be dealin with lil ass kid shit soon that note swerve bitch,"Good morning. It's far too early for me to deal with your issues, I am a grown man and I do not feel like dealing with all of this immaturity soin that regard, I would request you that you stop"
1187,S10,Idgaf wat a bitch or a nigga thank n fuck allat bstalkin kuz ya breff stank,I don't give a fuck what a bitch or a man think and fuck all that bullshittalking because your breath stink
1194,S2,Then off to my friend house I got some beer I'm about todrink till I pass out..,Then off to my friend's house. I got some beer. I am about todrink until I pass out.
1201,S10,It kill me when hoe tryin play da Niggah job and da Relationship an her job at da same time ..lolno her Niggah a bitch,"I can't believe it when a whore's trying to handle the man's job and the relationship and her job at the same time. That's funny;no, her man's a bitch"
1203,S10,"Bitches be claiming they holding they nigga down but while he not around fucking anythingin sight we see y'all""","Women are claiming they are keeping thier boyfriend, but while he is not present, they are having sex with anythingin sight. We see you all"
1205,S6,ok ill go today do I have to use it before I style my hair or can Iput it on it now,"Ok, I'll go today. Do I have to use it before I style my hair or can Iput it on now"
1211,S10,"Dez hoes fo anyone n they know it, it's just dez lames niggas who don't see, dez hoes some hood rats n they it, Iknow exactly where they be",Those women are not nice and they know it. They are lame and they don't realize that they are ruining their lives.I knew exactly where we would find them.
