line_index,nsfw_score,aave_text,sae_text
308,0.6026,Mfs wana be like Trice whole time tho. Just Tryna switch her shit up a lilpeon ass lil Thot .,Those people want to stir up trouble all the time. I am just trying to mess with her a little bit. She thought differently
323,0.9215,"If you have to wipe your ass more than 3 times after a shit, get yoshitty booboo ass in shower.","If you have to wipe your ass more than three times after you shit, get yourshitty butt in the shower"
332,0.6910,Niggaz aint gone be satisfied till they get the package....all that ass u was foaming at the mouth overgonna cost u your life,They will not be satisfied until they receive the package. It is not worth worrying about.It is going to cost you your life.
367,0.5729,Men ain't shit but bitch they can not take pain but they all ask like bitch fuck face they kiss my black Ass and diereal slow how about it,Men are not the best at having a high pain tolerance. What do you think?
486,0.7993,Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK,"You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis"
519,0.8355,Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby,I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby
539,0.7897,The only reason I don't like doing the dinning area is cause I hatedealing with drunk ass customers,The only reason I don't like working in the dining area is because I hate dealing with drunken customers
562,0.5681,really?... You dick sucking like that? Smh and I bet you still ain't get thatretweet you was craving for.,"Really...? You are giving a blowjob like that? Shaking my head, and I bet you still aren't getting thatretweet that you are craving for"
565,0.7669,Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her,"Every high quality man knows if you want to have sex with a girl, You are going to dowhatever it takes to have sex with her"
576,0.9270,"Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy","Donte, Biggy Smalls, Chian, Faith Evans and me are the same.Lil Kim is better than that"
587,0.8674,"Well my boyfriend girlfriend has been takin him away from me ""no minessssher lil ugly ass """,My boyfriend has been spending time with another girl and she's taking him away from me. He is mine and I'm not threatened by her
630,0.6205,My next bitch will not smoke iont even smoke so why would I wantyo stank breath ass to,"My next girlfriend will not smoke.  I don't even smoke, so why would I wantyou, with your terrible bad breath, to smoke"
662,0.6898,This girl said I got her in the friend zone.... naw bitch its the I ain'tfuckin wit yo ass zone,The girl said I befriended her.The bitch is lying. I don't fuck with girls like her
688,0.8632,I'll try tomorrow. This flu has been kicking my ass for a week now.I need a nurse! Lol!,I'll try tomorrow. This flu has been kicking my ass for a week now.I need a nurse! I'm laughing
689,0.8966,maaaaan dat would be the ultimate Kiss my ass move...but MIAcan't afford him AT ALL...,"That would be an amazing thing to have happen, but Miacan't afford him at all"
694,0.8511,"This btch stupid af on this movie , I wanna jump through the screen& smack her ass -_-",This bitch is stupid as fuck in this movie. I want to jump through the screenand smack her ass
707,0.8337,All dat education and still having to suck dick in the back of the DatingGame has to be humbling...,All that education and still having to suck dick in the back of the Dating   Game has to be humbling
769,0.5030,u let Lil Wayne hit u mind ass well let me hit for 1200wen I get my taxes,"You allowed Lil Wayne have sexual relations with you, in that case you should consider me as well for 1200when I receive my taxes"
878,0.6866,tHIS BITCH REALLY WANT FAME OFFF MY MAIN NAME AINT NO MONEY IN THAT laughat your down ass REBLOCKED,"His bitch really wants fame off my main name, not any money in that, laughat your down ass. Reblocked"
901,0.7553,"CTFU , she a scary ass bitch ! That dick make her haverespect ! Heyyyy Naa !",I'm cracking the fuck up. She is a scary-ass bitch! That dick made her have respect! Hey
933,0.7450,Yhu One Bitch Made Nigga Pussy Ass Nigga Fuck Around And Get Layed Down ThatsHow We Play It Nigga!,"You're one bitch-made black person, pussy ass black person. Fuck around and get knocked down. That'show we play it, black person"
934,0.5381,My best friend mad at me bc I told her the truth about this bum ass nigga bitch its my place to tell you to throw hisass to the waste side!,My best friend is mad at me becaue I told her the truth about this bum ass nigger bitch its my place to tell you to throw his ass to the waste side
939,0.9076,bahhaaa! Il admit it I am.But I guarantee u his ass twice as bad ofF As I am.IKNW YUR NOT TLKN U BIGCRY BABY THTS PAS WHIPD,"Hahaha! I will admit it, I am. But I am able to guarantee you he is twice as worse off as I am. I can ascertain that you are not posturing right now you bigcry baby, that is beyond a normal level of whipped"
954,0.6145,Y should i get suspended i didn't thro a puNch nothing just askher to cum out Side,"You should know I got suspended. I did not throw a punch, however. I just askedher to come outside."
1003,0.8881,Sometimes i think you were you raised on a farm Cause you sholl know howto raise a cock. lmmfao,"Sometimes I think you were raised on a farm, because you should know howto raise a cock. Laughing my motherfucking ass off."
1017,0.6363,if u got sumthin to say bout my child tell me nd not da net BC BYTCHU NEED UR ASS BEAT,"If you have something to say about my child, tell me and not the Internet because bitches,you need your asses beat"
1036,0.7446,It's all in fun though. Everybody know light skin chicks withthin 'staches got fat asses,"It is all in fun, though. Everybody knows that light-skin chicks withthin mustaches have fat asses."
1041,0.8971,"Hairy pussy is not to be eaten, u can fuck it tho, don'tturn it down completely ""","Hairy vaginas are not meant to have cunnilingus preformed upon it. You can have sex with it though, don't turn it down completely"
1093,0.9346,I'm already knowing when I talk to him he got somewords for my little ass,I already know when I talk to him he will have somewords for me
1099,0.8273,I didn't try to hold your hand g. I HELD that shit. Just likehow I grabbed that ass,"I didn't try to hold your hand, dude. I held that shit, just likehow I grabbed that ass"
1107,0.8167,"Who wanna buy d tape of rocko running and guwop kickin him in ass. Wit my house shoes on lol.I want 250k"" I'm dead!!!","Who would want to buy the tape of Rocko running and Guwop kicking him in the ass. With my shoes on, haha.\""I want $250,000\"" I'm laughing so hard"
1131,0.5364,"Im jus attracted to rough ass niggahs mane ,ilove a niggah thats bout it but still knohow to treat his ole'lady","I'm just attracted to rough as men, I love a man that's about it, but still know'show to treat his old lady"
1143,0.9139,So u gone tell me by me bring a gentlemen and the man my motha raised me 2I payed for the pussy?,"So you're going to tell me that by being a gentleman and the man my mother raised me to be,I paid for the pussy"
1157,0.8592,"Take me for who I am if you don't like itsuck my dick...."" Well damn","Take me for who I am, if you do not like itsuck my dick. Well, damn"
1166,0.8086,"Wanna get blocked? Reply to my tweet wit a mixtape, song,or a video. I WILL FVCKIN JUMP THROUGHDIS SCREEN ON YO ASS.","Do you want to get blocked? Reply to my Tweet with a mixtape, song or a video. I will fucking jump throughthis screen on your ass"
1192,0.6902,"Missed out on my whole lil ""break"" cause this broad grown ass in here sharpeningpencils like it's her job",Missed out on my whole first break because this woman was in here sharpeningpencils like it was her job
1244,0.8111,"Confession Thursdays: if ur ass had a 100 bill in it, could I give you changeto go wit it lol","Confession Thursdays: If you're ass had a $100 bill on it, could I give you changeto go with it? I'm laughing"
1275,0.5017,Nothing more disappointing than having the feeling of major shits. Running to bathroom. Covering seat and nothing butloud ass gas comes out,There's nothing more disappointing than having the feeling to use the bathroom. Running to the bathroom. Covering the seat and having nothing butgas comes out
1277,0.6810,How You Got A Nigga Wit A Wheel But Ya Ass On The Broad Street Line Ya Pussy Must Not Be ThatGood For A Car Ride,"How do you have a man with a car but you are still on broad street, you must not be good enough for a car ride"
1294,0.6116,"Don't invite me over your house if you don't have AC..""realshit imastand yo ass up everytime","Don't invite me over to your house if you don't have air conditioning. Seriously, I'm going tolet you down every time"
1318,0.7032,"Lmao I'm on a drought so the next nigga that I have sex with, WE GO TOGETHER cause I ain'tWith the drought life ""","Laughing my ass off. I'm in a drought, so the next black person I have sex with will become monogamous with me because I'm notin agreement with with a drought-style life"
1521,0.7607,That Shit Was Foul As'f! My ass was cryinggg & them folkss didnt have tosay shit us! Fuckedd Up,That shit was as foul as fuck! I was crying and those people didn't have to say shit to us! Fucked up
1533,0.6891,Bitches get fucked on the roof when I aint got nohotel doe ~ Big L,I have sex with girls on the roof when I don't have anymoney for a hotel room - Big 
1564,0.9054,"Lmaoooo ,nawl hoe ,yeen smackin shit ,only one touchin my ass is KENDRAVIUS , && hoemy ass aint sloppy neither","Laughing my ass off, no, whore, you're talking shit. The only one touching my ass is Kendravius and, whore,my ass isn't sloppy either"
1592,0.9004,"""I knew ppl was gonna go overboard They on there suckingdick and fucking """" completely !",I knew people were going to go overboard. They are on there suckingdick and fucking completely.
1598,0.8662,Pop pussy baby show them niggAHs you ain't scared in here. Shake them titties baby shoe then niggayou ain't scared in here,Girl is showing off her goods with no fear. Dont be afraid.
1603,0.5725,Ctfuu! I'm saying & it's funnier cause we just talked aboutlame ass people doing that,"Shut the fuck up! I'm saying, and it's funnier because we just talked aboutlame ass people doing that"
1608,0.5739,I'm ready for football season!!! The NBA is full of pussies who cry about everything ohh my how the gamehas changed over the years,I am ready for football season! The National Basketball Association is full of cowards who cry about everything. Oh my! How the gamehas changed over the years
1612,0.6783,This is prolly the easiest night to get some ass nMiami especially if they win!!,This is probably the easiest night to find a mate in Miami especially if they win
1648,0.6083,Lez ur a jerk ass! well u neva told me u read it...ubeen all redbone busy nshit!,"Lez, you're a jerk ass! Well, you never told me your read it. You'vebeen all Redbone busy and shit"
1671,0.9595,Can I just get a blow job fr the crack ofmy hairy ass kmsl Jp,"Can I just get a blow job? For real, the crack of my hairy ass, killing myself laughing, just playing"
1698,0.9056,My grandma told Eric he can spend da night knowing I was mad at his ass.......... Now I done slipped upn let him dtmf lbvvvvvvs,"My grandma told Eric he can spend the night knowing I am mad at his ass. Now, I gone and slipped upand let him dump the motherfucker. Laughing, but very serious."
1704,0.9193,If dis rachet hoe dnt txt me bck>> ima walk to haa housend slap haa ugly ass!,rachel has been ignoring the texts. I am going to confront her. I will put her in her place
1751,0.5094,Dnt cum my way fa nth Dnt hit my line fa nth fony ass fuckniggas u niggas is nth,"Do not come my way for nothing. Do not hit my line for nothing, phone ass fuckblack guys, you black guys are nothing."
1811,0.7808,"Comcast stay leaving that threatening ass ""we were here to pick up your equipment""post it on my door.","Comcast stays leaving that threatening-ass, \""We were here to pick up your equipment\""post-it on my door."
1834,0.6810,ALOT of people on twitter fronting and for who..cause when you get that ass whooping thats coming to you..they gonbe on here clowning you.,"A lot of people on Twitter are posturing, but for whom? Because when you receive the beating that's imminent, they're going to be on here ridiculing you"
1866,0.5897,I hate an extra motherfucka. Change what I need changed and keep it moving stop askingall these irrelevant ass questions,"I hate an extra motherfucker. Change what I need changes, and keep it moving. Stop askingall these irrelevant ass questions"
1884,0.5497,Don't judge me I jus hate ratchet ass bitchez ! Like dat shyt not kool y u wannabe ratchet let me no,"Don't judge me, I just hate ratchet-ass bitches. Like that shit is not cool, why do you want tobe ratchet? Let me know"
1895,0.7923,"Telly hungry ass ain't going to watch the game she just wannaeat lol"" don't do me","Tell her hungry self she isn't going to watch the game. She just wantsto eat, not spend time with me."
1898,0.9412,"Getting your ass ate feels so violating I could never look at him the same again"" have aseat under the bed bih","Having your ass eaten is such a violation. I could never look at him the same way again. Have a seat under the bed, bitch"
1899,0.5696,"If a nigga don't like me he hating.."" Naw maybe theyjust don't like ya ass","\""If someone doesn't like me, they're hating.\"" No, maybe theyjust don't like you"
1915,0.7480,"Ole I saw you and him, walking in the rain. You were holding hands and ill never bethe same looking ass. Lmao","Oh yeah, I saw you and him, walking in the rain. You were holding hands, and I'll never bethe same looking ass. Laughing my ass off"
1940,0.9214,But He Got One Moe Time To Hit Me Wit That JacketAnd Ima Beat His Ass,But he has one more chance to hit me with that jacketand I'm going to beat his ass
1956,0.9182,"let me take my ass to checkers then go home I'mschleepy""bring me a big Buford","Let me take my ass to Checkers, then go home. I'msleepy.\"" Bring me a Big Buford"
2002,0.6910,"All these hoes out here really think they snatchin, hoe yo pussy the onlything that these nigga smashing","All these whores in this location really believe they're stealing. Whore, your vagina is the onlything that these black people are having intercourse with"
